Time,Latitude,Longitude,Velocity,Acceleration,Quarter,StoppageType,DisposalType,Name,StoppageID
0.1,-37.8202008,144.9837503,1.773500085,0.663648486,3,Ball Up,Kick,Daniel,1
0.2,-37.8201999,144.9837524,1.808500051,0.585238338,3,Ball Up,Kick,Daniel,1
0.3,-37.8201987,144.9837563,2.137500048,1.261429787,3,Ball Up,Kick,Daniel,1
0.4,-37.8201972,144.9837594,2.396500111,1.593574286,3,Ball Up,Kick,Daniel,1
0.5,-37.8201964,144.9837618,2.436500072,1.295183659,3,Ball Up,Kick,Daniel,1
0.6,-37.8201952,144.983765,2.542500019,1.23639071,3,Ball Up,Kick,Daniel,1
0.7,-37.8201937,144.9837686,2.728500128,1.392292976,3,Ball Up,Kick,Daniel,1
0.8,-37.8201931,144.9837715,2.74450016,1.084222674,3,Ball Up,Kick,Daniel,1
0.9,-37.8201912,144.9837748,2.881500006,1.15566802,3,Ball Up,Kick,Daniel,1
1,-37.8201889,144.9837782,3.033500195,1.246753931,3,Ball Up,Kick,Daniel,1
1.1,-37.8201865,144.983782,3.247500181,1.470066428,3,Ball Up,Kick,Daniel,1
1.2,-37.8201841,144.9837841,3.209500074,1.007550836,3,Ball Up,Kick,Daniel,1
1.3,-37.8201815,144.9837878,3.327500105,1.050664067,3,Ball Up,Kick,Daniel,1
1.4,-37.8201791,144.9837914,3.426500082,1.03550005,3,Ball Up,Kick,Daniel,1
1.5,-37.8201765,144.9837952,3.551500082,1.089125037,3,Ball Up,Kick,Daniel,1
1.6,-37.8201742,144.9837979,3.502500057,0.694343805,3,Ball Up,Kick,Daniel,1
1.7,-37.8201719,144.9838014,3.517500162,0.558257818,3,Ball Up,Kick,Daniel,1
1.8,-37.8201689,144.9838043,3.607500076,0.643695354,3,Ball Up,Kick,Daniel,1
1.9,-37.820166,144.9838067,3.671500206,0.642773449,3,Ball Up,Kick,Daniel,1
2,-37.820164,144.9838099,3.652500153,0.434582055,3,Ball Up,Kick,Daniel,1
2.1,-37.8201616,144.983813,3.702500105,0.45093751,3,Ball Up,Kick,Daniel,1
2.2,-37.8201592,144.9838172,3.879500151,0.780703187,3,Ball Up,Kick,Daniel,1
2.3,-37.8201571,144.9838202,3.898500204,0.633027375,3,Ball Up,Kick,Daniel,1
2.4,-37.8201557,144.9838235,3.822500229,0.284773439,3,Ball Up,Kick,Daniel,1
2.5,-37.8201531,144.9838272,3.935500145,0.496082067,3,Ball Up,Kick,Daniel,1
2.6,-37.8201504,144.9838298,3.978500128,0.479562521,3,Ball Up,Kick,Daniel,1
2.7,-37.8201483,144.9838335,4.002500534,0.419671893,3,Ball Up,Kick,Daniel,1
2.8,-37.8201457,144.9838374,4.077500343,0.50225395,3,Ball Up,Kick,Daniel,1
2.9,-37.8201433,144.9838416,4.136500359,0.524191439,3,Ball Up,Kick,Daniel,1
3,-37.8201411,144.9838464,4.277500629,0.745644569,3,Ball Up,Kick,Daniel,1
3.1,-37.820139,144.9838491,4.200500488,0.366734385,3,Ball Up,Kick,Daniel,1
3.2,-37.8201364,144.9838533,4.322500229,0.580050826,3,Ball Up,Kick,Daniel,1
3.3,-37.8201337,144.9838564,4.333500385,0.462539077,3,Ball Up,Kick,Daniel,1
3.4,-37.8201308,144.983859,4.303500175,0.271906257,3,Ball Up,Kick,Daniel,1
3.5,-37.8201281,144.9838622,4.27450037,0.131429687,3,Ball Up,Kick,Daniel,1
3.6,-37.8201254,144.9838657,4.307500362,0.181074232,3,Ball Up,Kick,Daniel,1
3.7,-37.8201228,144.9838698,4.374500275,0.303308606,3,Ball Up,Kick,Daniel,1
3.8,-37.8201205,144.9838726,4.283500195,-1.56E-05,3,Ball Up,Kick,Daniel,1
3.9,-37.8201169,144.9838762,4.400500298,0.292488307,3,Ball Up,Kick,Daniel,1
4,-37.820114,144.9838787,4.378500462,0.164367199,3,Ball Up,Kick,Daniel,1
4.1,-37.8201108,144.9838815,4.40650034,0.193277359,3,Ball Up,Kick,Daniel,1
4.2,-37.8201084,144.9838845,4.320500374,-0.070039064,3,Ball Up,Kick,Daniel,1
4.3,-37.8201055,144.9838882,4.369500637,0.069968753,3,Ball Up,Kick,Daniel,1
4.4,-37.8201031,144.9838917,4.351500511,0.007476563,3,Ball Up,Kick,Daniel,1
4.5,-37.8201008,144.9838949,4.251500607,-0.244390637,3,Ball Up,Kick,Daniel,1
4.6,-37.8200984,144.9838992,4.290500641,-0.085792974,3,Ball Up,Kick,Daniel,1
4.7,-37.8200964,144.9839029,4.232500553,-0.209347665,3,Ball Up,Kick,Daniel,1
4.8,-37.8200944,144.9839061,4.059500217,-0.589511752,3,Ball Up,Kick,Daniel,1
